,Open,High,Low,Close,Volume,QuoteVolume
2022-09-08 18:25:00+09:00,2773742.0,2774000.0,2772456.0,2772938.0,2.21961073,6155723.28758888
2022-09-08 18:26:00+09:00,2772689.0,2773288.0,2772688.0,2772766.0,0.20148152,558728.30772576
2022-09-08 18:27:00+09:00,2772600.0,2772949.0,2772217.0,2772829.0,0.6427,1781925.98488376
2022-09-08 18:28:00+09:00,2772825.0,2775173.0,2772819.0,2774774.0,3.68138679,10212716.47871303
2022-09-08 18:29:00+09:00,2774847.0,2774847.0,2773544.0,2773632.0,1.1916655,3305666.21467207
2022-09-08 18:30:00+09:00,2773790.0,2774202.0,2771550.0,2773576.0,6.53310522,18112048.6354306
2022-09-08 18:31:00+09:00,2773510.0,2774847.0,2773371.0,2774351.0,4.70790758,13061081.31614884
2022-09-08 18:32:00+09:00,2774348.0,2774436.0,2773935.0,2773935.0,0.878,2435650.865
2022-09-08 18:33:00+09:00,2774351.0,2774351.0,2771697.0,2772518.0,1.912039,5300962.46619189
2022-09-08 18:34:00+09:00,2771907.0,2772864.0,2771893.0,2772864.0,1.291366,3580239.18387803
2022-09-08 18:35:00+09:00,2772118.0,2772118.0,2770390.0,2771001.0,6.56665721,18196262.79667338
2022-09-08 18:36:00+09:00,2770960.0,2773500.0,2770598.0,2772465.0,4.30956066,11946911.16884632
2022-09-08 18:37:00+09:00,2772846.0,2773215.0,2771642.0,2772471.0,0.9071,2514717.5652
2022-09-08 18:38:00+09:00,2771852.0,2772937.0,2771852.0,2772453.0,0.48668083,1349323.00561669
2022-09-08 18:39:00+09:00,2772129.0,2772433.0,2770627.0,2771269.0,2.14028244,5931916.13732832
2022-09-08 18:40:00+09:00,2771909.0,2772451.0,2770455.0,2770881.0,3.59308065,9957478.5045919
2022-09-08 18:41:00+09:00,2771218.0,2771524.0,2770229.0,2770576.0,3.0489456,8447305.35518224
2022-09-08 18:42:00+09:00,2770229.0,2771147.0,2769907.0,2770708.0,3.27662,9077843.78975039
